study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy
PRJNA390636	SAMN07247007	SRS2288097	SRX2922237	SRR5687500	9606	Homo sapiens	NextSeq 500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR568/000/SRR5687500/SRR5687500_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR568/000/SRR5687500/SRR5687500_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR568/000/SRR5687500/SRR5687500_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR568/000/SRR5687500/SRR5687500_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR568/000/SRR5687500	ftp.sra.ebi.ac.uk/vol1/srr/SRR568/000/SRR5687500		
PRJNA390636	SAMN07247006	SRS2288098	SRX2922238	SRR5687501	9606	Homo sapiens	NextSeq 500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR568/001/SRR5687501/SRR5687501_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR568/001/SRR5687501/SRR5687501_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR568/001/SRR5687501/SRR5687501_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR568/001/SRR5687501/SRR5687501_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR568/001/SRR5687501	ftp.sra.ebi.ac.uk/vol1/srr/SRR568/001/SRR5687501		
PRJNA390636	SAMN07247005	SRS2288099	SRX2922239	SRR5687502	9606	Homo sapiens	NextSeq 500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR568/002/SRR5687502/SRR5687502_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR568/002/SRR5687502/SRR5687502_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR568/002/SRR5687502/SRR5687502_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR568/002/SRR5687502/SRR5687502_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR568/002/SRR5687502	ftp.sra.ebi.ac.uk/vol1/srr/SRR568/002/SRR5687502		
PRJNA390636	SAMN07247004	SRS2288100	SRX2922240	SRR5687503	9606	Homo sapiens	NextSeq 500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR568/003/SRR5687503/SRR5687503_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR568/003/SRR5687503/SRR5687503_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR568/003/SRR5687503/SRR5687503_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR568/003/SRR5687503/SRR5687503_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR568/003/SRR5687503	ftp.sra.ebi.ac.uk/vol1/srr/SRR568/003/SRR5687503		
PRJNA390636	SAMN07247003	SRS2288101	SRX2922241	SRR5687504	9606	Homo sapiens	NextSeq 500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR568/004/SRR5687504/SRR5687504_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR568/004/SRR5687504/SRR5687504_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR568/004/SRR5687504/SRR5687504_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR568/004/SRR5687504/SRR5687504_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR568/004/SRR5687504	ftp.sra.ebi.ac.uk/vol1/srr/SRR568/004/SRR5687504		
PRJNA390636	SAMN07247002	SRS2288103	SRX2922242	SRR5687505	9606	Homo sapiens	NextSeq 500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR568/005/SRR5687505/SRR5687505_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR568/005/SRR5687505/SRR5687505_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR568/005/SRR5687505/SRR5687505_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR568/005/SRR5687505/SRR5687505_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR568/005/SRR5687505	ftp.sra.ebi.ac.uk/vol1/srr/SRR568/005/SRR5687505		
PRJNA390636	SAMN07247001	SRS2288102	SRX2922243	SRR5687506	9606	Homo sapiens	NextSeq 500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR568/006/SRR5687506/SRR5687506_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR568/006/SRR5687506/SRR5687506_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR568/006/SRR5687506/SRR5687506_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR568/006/SRR5687506/SRR5687506_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR568/006/SRR5687506	ftp.sra.ebi.ac.uk/vol1/srr/SRR568/006/SRR5687506		
PRJNA390636	SAMN07247000	SRS2288104	SRX2922244	SRR5687507	9606	Homo sapiens	NextSeq 500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR568/007/SRR5687507/SRR5687507_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR568/007/SRR5687507/SRR5687507_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR568/007/SRR5687507/SRR5687507_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR568/007/SRR5687507/SRR5687507_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR568/007/SRR5687507	ftp.sra.ebi.ac.uk/vol1/srr/SRR568/007/SRR5687507		
PRJNA390636	SAMN07246999	SRS2288105	SRX2922245	SRR5687508	9606	Homo sapiens	NextSeq 500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR568/008/SRR5687508/SRR5687508_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR568/008/SRR5687508/SRR5687508_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR568/008/SRR5687508/SRR5687508_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR568/008/SRR5687508/SRR5687508_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR568/008/SRR5687508	ftp.sra.ebi.ac.uk/vol1/srr/SRR568/008/SRR5687508		
PRJNA390636	SAMN07246998	SRS2288107	SRX2922246	SRR5687509	9606	Homo sapiens	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR568/009/SRR5687509/SRR5687509_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR568/009/SRR5687509/SRR5687509_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR568/009/SRR5687509/SRR5687509_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR568/009/SRR5687509/SRR5687509_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR568/009/SRR5687509	ftp.sra.ebi.ac.uk/vol1/srr/SRR568/009/SRR5687509		
