Scheme Name       : start_scheme
Scheme lnL        : -23172911.1529
Scheme AICc       : 46388725.7469
Number of params  : 20870
Number of sites   : 769646
Number of subsets : 3102

Subset | Best Model | Subset Partitions              | Subset Sites                   | Alignment                               
1      | LG+G+F     | EOG091E01KS                    | 1-347                          | ./analysis/phylofiles/990f6bc6a6d78d8c6c672400701813b3.phy
2      | VT+G       | EOG091E03N9                    | 348-443                        | ./analysis/phylofiles/27747ea90c971cc2888f2bfbac374097.phy
3      | LG+G       | EOG091E00G3                    | 444-756                        | ./analysis/phylofiles/c271c5c4604968192653abc6e04723c4.phy
4      | JTT+G      | EOG091E00TW                    | 757-962                        | ./analysis/phylofiles/4b30bf9e1f070651c015c5ac7dd6ed0b.phy
5      | LG+I+G     | EOG091E03LF                    | 963-1117                       | ./analysis/phylofiles/894b6fa06caf80e4add4dc8ebf296d18.phy
6      | LG+I+G+F   | EOG091E01W7                    | 1118-1557                      | ./analysis/phylofiles/563f9b8ff95ae587ac6fcddaf85a044c.phy
7      | DAYHOFF+I+G | EOG091E02ZA                    | 1558-1711                      | ./analysis/phylofiles/1da66e0bdef018089f54cfeb577f2646.phy
8      | LG+G+F     | EOG091E02T3                    | 1712-1842                      | ./analysis/phylofiles/24e8c7a55d706b003855cf1f1b493c69.phy
9      | LG+I+G+F   | EOG091E03VL                    | 1843-1937                      | ./analysis/phylofiles/899b4734430c3c3b3ac686116654785a.phy
10     | LG+G+F     | EOG091E03NY                    | 1938-2139                      | ./analysis/phylofiles/748b7acc17cf4d7c2e5af8ce2656b9b9.phy
11     | LG+G       | EOG091E044A                    | 2140-2333                      | ./analysis/phylofiles/d0f110190e95a6383653ddb39686cfea.phy
12     | LG+I+G     | EOG091E03P8                    | 2334-2484                      | ./analysis/phylofiles/cb09bba66401d0b91731c0707504813a.phy
13     | RTREV+I+G  | EOG091E05GP                    | 2485-2605                      | ./analysis/phylofiles/a338eeaff8299528a786750db18a6a0c.phy
14     | LG+G       | EOG091E02H7                    | 2606-2798                      | ./analysis/phylofiles/7be8173b4d85af1726c7a3139b3a332f.phy
